story_id,entity,type
1586,"Luhanskregions",PERSON
1586,"Petro Poroshenko",PERSON
2859,"ICRC",ORGANIZATION
1749,"Afghanistan",LOCATION
1749,"Herat",LOCATION
1749,"Kabul",LOCATION
1749,"ICRC",ORGANIZATION
1749,"Monica Zanarelli",PERSON
506,"Haiyan",PERSON
506,"Hagupit",PERSON
506,"Philippines",LOCATION
506,"Leyte",LOCATION
506,"Tacloban City",LOCATION
506,"Southeast Asian archipelago",LOCATION
2759,"Cairo",LOCATION
2759,"Ibrahim Ghandour",PERSON
2759,"African Union High Level Implementation Panel",ORGANIZATION
2759,"Thabo Mbeki",PERSON
2759,"African Union",LOCATION
2759,"Ghandour",PERSON
2759,"Khartoum",LOCATION
140,"Amos",PERSON
140,"U.N.",ORGANIZATION
140,"Valerie Amos",PERSON
140,"Somalia",LOCATION
140,"U.N. Security Council",ORGANIZATION
1829,"Guinea",LOCATION
1829,"Sierra Leone",LOCATION
1829,"Liberia",LOCATION
2191,"Farhan Haq",PERSON
2191,"UNSG",ORGANIZATION
2191,"Haq",PERSON
2191,"UNESCO",ORGANIZATION
2191,"UNICEF",ORGANIZATION
2191,"UN",ORGANIZATION
2191,"United Nations",ORGANIZATION
2442,"UN",ORGANIZATION
2442,"UN General Assembly",ORGANIZATION
2654,"UNAIDS",ORGANIZATION
2654,"Australia",LOCATION
2654,"Melbourne",LOCATION
2654,"United Nations",ORGANIZATION
9,"South Korea",LOCATION
9,"North Korea",LOCATION
333,"South Korea",LOCATION
333,"Defense Ministry",ORGANIZATION
333,"Baengnyeong",LOCATION
333,"South",LOCATION
399,"South Korea",LOCATION
399,"Yeonpyeong",LOCATION
399,"North Korea",LOCATION
399,"Yonhap",ORGANIZATION
1097,"Kashmir",LOCATION
1097,"India",LOCATION
1097,"New Delhi",LOCATION
1097,"Pakistan Rangers",ORGANIZATION
1759,"Valerie Amos",PERSON
1759,"UN",ORGANIZATION
1991,"India",LOCATION
1991,"OCHA",ORGANIZATION
1991,"Sunkoshi River",LOCATION
1991,"UN",ORGANIZATION
1991,"Nepal",LOCATION
2023,"South Korea",LOCATION
2023,"Kim Jong Un",PERSON
2023,"North Korea",LOCATION
2023,"US Navy",ORGANIZATION
2259,"India",LOCATION
2259,"Pakistan",LOCATION
2259,"Kashmir",LOCATION
2446,"China",LOCATION
2446,"Beijing News",ORGANIZATION
2446,"North Korea",LOCATION
2446,"Korean Peninsula",LOCATION
2446,"Dalian",LOCATION
2765,"India",LOCATION
2765,"Pakistan",LOCATION
2765,"Tehreek-e-Taliban Pakistan Jamaat Ahrar",ORGANIZATION
2765,"Taliban",ORGANIZATION
2832,"India",LOCATION
2832,"Pakistan",LOCATION
2832,"Kashmir",LOCATION
2832,"South Asia",LOCATION
3153,"Kashmir",LOCATION
3153,"India",LOCATION
3153,"Jammu",LOCATION
3153,"Narendra Modi",PERSON
3153,"Pakistan",LOCATION
3264,"India",LOCATION
3264,"Pakistan",LOCATION
3264,"Khawaja Asif",PERSON
3264,"Kashmir",LOCATION
3264,"Arun Jaitley",PERSON
3284,"Kashmir",LOCATION
3284,"Pakistan",LOCATION
3284,"India",LOCATION
3284,"South Asia",LOCATION
3474,"South Koreas",LOCATION
3474,"South Korea",LOCATION
3474,"Ryoo Kihl-jae",PERSON
3474,"Korea",LOCATION
3474,"Ryoo",PERSON
3474,"Pyongyang",LOCATION
3474,"North Korea",LOCATION
2982,"India",LOCATION
2982,"Bharatiya Janata Party",ORGANIZATION
2982,"Middle East",LOCATION
2982,"Asia",LOCATION
2982,"BJP",ORGANIZATION
465,"Algiers",LOCATION
465,"Mali",LOCATION
24,"Transparency International Asia-Pacific",ORGANIZATION
24,"Srirak Plipat",PERSON
2412,"CNN Turk",ORGANIZATION
2412,"Erdogan",PERSON
2412,"Turkey",LOCATION
2412,"Tayyip Erdogan",PERSON
26,"Afghanistan",LOCATION
26,"US",LOCATION
665,"Karachi",LOCATION
665,"Pakistan",LOCATION
665,"Al-Qaeda",ORGANIZATION
665,"North Waziristan",LOCATION
665,"Taliban",ORGANIZATION
1366,"Abd-Rabbu Mansour Hadi",PERSON
1366,"al Qaeda",ORGANIZATION
1366,"Sanaa",LOCATION
1366,"Yemen",LOCATION
2837,"Justice",ORGANIZATION
2837,"Christiana Tah",PERSON
2837,"Tah",PERSON
2837,"National Security Agency",ORGANIZATION
1490,"Jund al-Khalifa",PERSON
1490,"Iraq",LOCATION
1490,"APS",ORGANIZATION
1490,"Herv Gourdel",PERSON
33,"University of Minnesota 's Institute",ORGANIZATION
479,"Caribbean",LOCATION
479,"Latin America",LOCATION
479,"UNDP",ORGANIZATION
2698,"UNICEF",ORGANIZATION
2698,"Procter",ORGANIZATION
2698,"Indonesia",LOCATION
3065,"UNEP",ORGANIZATION
3065,"Reuters",ORGANIZATION
3065,"Achim Steiner",PERSON
3065,"Nairobi",LOCATION
3065,"UN",ORGANIZATION
3065,"Interpol",ORGANIZATION
3288,"Liberia",LOCATION
3288,"UNICEF",ORGANIZATION
3288,"UN",ORGANIZATION
3288,"Sierra Leone",LOCATION
3288,"Augustin Kabano",PERSON
459,"Afghanistan",LOCATION
